732,Tyler Davis,156,14,JAX,6,206,2020,Georgia Tech,2017,Connecticut,11,14,156,11.1,0,14.2,WR,SO,tyler-davis-2
733,C.J. Uzomah,154,11,CIN,5,157,2015,Auburn,2013,Auburn,6,11,154,14.0,3,25.7,WR,JR,cj-uzomah-1
734,Jehu Chesson,154,14,KAN,4,139,2017,Michigan,2014,Michigan,11,14,154,11.0,0,14.0,WR,SO,jehu-chesson-1
735,Tyrone Tracy Jr.,154,14,NYG,5,166,2024,Purdue,2020,Iowa,8,14,154,11.0,1,19.3,WR,SO,tyrone-tracy-jr-1
736,Jordan Akins,152,14,HTX,3,98,2018,UCF,2015,UCF,3,14,152,10.9,2,50.7,WR,SO,jordan-akins-1
737,Derius Davis,151,11,SDG,4,125,2023,Texas Christian,2019,Texas Christian,12,11,151,13.7,0,12.6,WR,SO,derius-davis-1
738,Evan Spencer,149,15,WAS,6,187,2015,Ohio State,2014,Ohio State,15,15,149,9.9,3,9.9,WR,SR,evan-spencer-1
739,Deangelo Yancey,147,12,GNB,5,175,2017,Purdue,2014,Purdue,12,12,147,12.3,3,12.3,WR,SO,deangelo-yancey-1
740,Ben Skowronek,141,12,RAM,7,249,2021,Notre Dame,2019,Northwestern,3,12,141,11.8,0,47.0,WR,SR,ben-skowronek-1
741,Justin Shorter,137,12,BUF,5,150,2023,Florida,2019,Penn State,10,12,137,11.4,0,13.7,WR,SO,justin-shorter-1
742,Charone Peake,129,12,NYJ,7,241,2016,Clemson,2014,Clemson,7,12,129,10.8,2,18.4,WR,JR,charone-peake-1
743,Isaiah McKenzie,123,10,DEN,5,172,2017,Georgia,2015,Georgia,10,10,123,12.3,0,12.3,WR,SO,isaiah-mckenzie-1
744,Cornell Powell,122,15,KAN,5,181,2021,Clemson,2019,Clemson,15,15,122,8.1,2,8.1,WR,JR,cornell-powell-1
745,Parris Campbell,121,13,CLT,2,59,2019,Ohio State,2016,Ohio State,13,13,121,9.3,0,9.3,WR,SO,parris-campbell-1
746,Terry McLaurin,114,11,WAS,3,76,2019,Ohio State,2016,Ohio State,13,11,114,10.4,2,8.8,WR,SO,terry-mclaurin-1
747,Jelani Woods,112,16,CLT,3,73,2022,Virginia,2019,Oklahoma State,13,16,112,7.0,1,8.6,WR,SO,jelani-woods-1
748,Trey Palmer,108,10,TAM,6,191,2023,Nebraska,2020,LSU,8,10,108,10.8,0,13.5,WR,SO,trey-palmer-1
749,Casey Washington,106,10,ATL,6,187,2024,Illinois,2020,Illinois,8,10,106,10.6,0,13.3,WR,SO,casey-washington-1
750,Jalen Nailor,106,15,MIN,6,191,2022,Michigan State,2019,Michigan State,4,15,106,7.1,0,26.5,WR,SO,jalen-nailor-1
751,Tyrone Tracy Jr.,106,15,NYG,5,166,2024,Purdue,2021,Iowa,13,15,106,7.1,1,8.2,WR,JR,tyrone-tracy-jr-1
752,Jalen Brooks,100,11,DAL,7,244,2023,South Carolina,2020,South Carolina,6,11,100,9.1,0,16.7,WR,JR,jalen-brooks-2
753,Nathan Hairston,88,13,CLT,5,158,2017,Temple,2014,Temple,7,13,88,6.8,0,12.6,WR,SO,nathan-hairston-1
754,Braxton Berrios,86,12,NWE,6,210,2018,Miami (FL),2015,Miami (FL),11,12,86,7.2,0,7.8,WR,SO,braxton-berrios-1
