Rk,Player,Yds,FantPt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,1D,Succ%,FantPt,PPR,FantPt,PPR/G,Pos,-9999
44,Sterling Shepard,683,119.4,2016,23,NYG,16,16,105,65,683,10.5,8,42.7,61.9,6.5,42,49.5,119.4,184.4,7.46,11.53,WR,ShepSt00
45,Diontae Johnson,680,104.1,2019,23,PIT,16,12,92,59,680,11.5,5,42.5,64.1,7.4,31,48.9,104.1,163.1,6.51,10.19,WR,JohnDi01
46,Allen Hurns,677,103.7,2014,23,JAX,16,8,97,51,677,13.3,6,42.3,52.6,7.0,26,38.1,103.7,154.7,6.48,9.67,WR,HurnAl01
47,Tyler Lockett,664,114.4,2015,23,SEA,16,8,69,51,664,13.0,6,41.5,73.9,9.6,31,66.7,114.4,165.4,7.15,10.34,WR,LockTy00
48,Will Fuller,635,81.2,2016,22,HOU,14,13,92,47,635,13.5,2,45.4,51.1,6.9,31,39.1,81.2,128.2,5.80,9.16,WR,FullWi01
49,Darnell Mooney,631,91.1,2020,23,CHI,16,9,98,61,631,10.3,4,39.4,62.2,6.4,33,50.0,91.1,152.1,5.69,9.51,WR,MoonDa00
50,Jaxon Smith-Njigba,628,86.8,2023,21,SEA,17,3,93,63,628,10.0,4,36.9,67.7,6.8,29,47.3,86.8,149.8,5.11,8.81,WR,SmitJa06
51,Taylor Gabriel,621,69.1,2014,23,CLE,16,2,72,36,621,17.3,1,38.8,50.0,8.6,26,40.3,69.1,105.1,4.32,6.57,WR,GabrTa00
52,Christian Watson,611,123.1,2022,23,GNB,14,11,66,41,611,14.9,7,43.6,62.1,9.3,28,50.0,123.1,164.1,8.79,11.72,WR,WatsCh00
53,Hunter Renfrow,605,84.5,2019,24,OAK,13,4,71,49,605,12.3,4,46.5,69.0,8.5,30,54.9,84.5,133.5,6.50,10.27,WR,RenfHu00
54,Jamison Crowder,604,74.6,2015,22,WAS,16,6,78,59,604,10.2,2,37.8,75.6,7.7,34,57.7,74.6,133.6,4.66,8.35,WR,CrowJa00
55,Tyler Boyd,603,70.1,2016,22,CIN,16,2,81,54,603,11.2,1,37.7,66.7,7.4,33,55.6,70.1,124.1,4.38,7.76,WR,BoydTy00
56,Laviska Shenault Jr.,600,99.1,2020,22,JAX,14,12,79,58,600,10.3,5,42.9,73.4,7.6,33,53.2,99.1,157.1,7.08,11.22,WR,ShenLa00
57,Gabriel Davis,599,101.9,2020,21,BUF,16,11,62,35,599,17.1,7,37.4,56.5,9.7,27,53.2,101.9,136.9,6.37,8.56,WR,DaviGa01
58,Tyreek Hill,593,156.0,2016,22,KAN,16,1,83,61,593,9.7,6,37.1,73.5,7.1,31,50.6,156.0,217.0,9.75,13.56,WR,HillTy00
59,Alec Pierce,593,71.3,2022,22,IND,16,12,78,41,593,14.5,2,37.1,52.6,7.6,28,46.2,71.3,112.3,4.46,7.02,WR,PierAl00
60,Christian Kirk,590,80.5,2018,22,ARI,12,7,68,43,590,13.7,3,49.2,63.2,8.7,21,44.1,80.5,123.5,6.71,10.29,WR,KirkCh01
61,Robbie Chosen,587,72.9,2016,23,NYJ,16,8,78,42,587,14.0,2,36.7,53.8,7.5,19,43.6,72.9,114.9,4.56,7.18,WR,AndeRo04
62,Antonio Callaway,586,89.3,2018,21,CLE,16,11,79,43,586,13.6,5,36.6,54.4,7.4,27,44.3,89.3,132.3,5.58,8.27,WR,CallAn00
63,Marquise Brown,584,100.4,2019,22,BAL,14,11,71,46,584,12.7,7,41.7,64.8,8.2,24,47.9,100.4,146.4,7.17,10.46,WR,BrowMa04
64,Marquez Valdes-Scantling,581,73.0,2018,24,GNB,16,10,73,38,581,15.3,2,36.3,52.1,8.0,23,43.8,73.0,111.0,4.56,6.94,WR,ValdMa00
65,Dontayvion Wicks,581,80.8,2023,22,GNB,15,6,58,39,581,14.9,4,38.7,67.2,10.0,29,62.1,80.8,119.8,5.39,7.99,WR,WickDo00
66,Michael Wilson,565,76.5,2023,23,ARI,13,12,58,38,565,14.9,3,43.5,65.5,9.7,29,56.9,76.5,114.5,5.88,8.81,WR,WilsMi02
67,Demario Douglas,561,58.2,2023,23,NWE,14,7,79,49,561,11.4,0,40.1,62.0,7.1,26,45.6,58.2,107.2,4.16,7.66,WR,DougDe00
68,Brandin Cooks,550,86.3,2014,21,NOR,10,7,69,53,550,10.4,3,55.0,76.8,8.0,25,58.0,86.3,139.3,8.63,13.93,WR,CookBr00
69,Martavis Bryant,549,104.1,2014,23,PIT,10,3,48,26,549,21.1,8,54.9,54.2,11.4,16,45.8,104.1,130.1,10.41,13.01,WR,BryaMa00
70,Dorial Green-Beckham,549,80.9,2015,22,TEN,16,5,67,32,549,17.2,4,34.3,47.8,8.2,30,47.8,80.9,112.9,5.06,7.06,WR,GreeDo00
71,Allen Robinson,548,68.8,2014,21,JAX,10,8,81,48,548,11.4,2,54.8,59.3,6.8,26,49.4,68.8,116.8,6.88,11.68,WR,RobiAl02
72,Robert Foster,541,72.1,2018,24,BUF,13,3,44,27,541,20.0,3,41.6,61.4,12.3,20,52.3,72.1,99.1,5.55,7.62,WR,FostRo01
73,Mecole Hardman,538,93.5,2019,21,KAN,16,5,41,26,538,20.7,6,33.6,63.4,13.1,18,58.5,93.5,119.5,5.84,7.47,WR,HardMe00
74,Elijah Moore,538,95.2,2021,21,NYJ,11,6,77,43,538,12.5,5,48.9,55.8,7.0,24,45.5,95.2,138.2,8.65,12.56,WR,MoorEl00
75,Chris Godwin,525,58.5,2017,21,TAM,16,2,55,34,525,15.4,1,32.8,61.8,9.5,27,58.2,58.5,92.5,3.66,5.78,WR,GodwCh00
76,Jahan Dotson,523,95.6,2022,22,WAS,12,10,61,35,523,14.9,7,43.6,57.4,8.6,26,50.8,95.6,130.6,7.97,10.88,WR,DotsJa00
77,Tajae Sharpe,522,64.3,2016,22,TEN,16,10,83,41,522,12.7,2,32.6,49.4,6.3,27,45.8,64.3,105.3,4.02,6.58,WR,SharTa00
78,Rashod Bateman,515,57.5,2021,22,BAL,12,4,68,46,515,11.2,1,42.9,67.6,7.6,29,58.8,57.5,103.5,4.79,8.63,WR,BateRa00
79,Michael Gallup,507,64.7,2018,22,DAL,16,8,68,33,507,15.4,2,31.7,48.5,7.5,21,41.2,64.7,97.7,4.04,6.11,WR,GallMi00
80,Michael Pittman Jr.,503,58.9,2020,23,IND,13,8,61,40,503,12.6,1,38.7,65.6,8.2,22,50.8,58.9,98.9,4.53,7.61,WR,PittMi01
81,DeVante Parker,494,67.4,2015,22,MIA,14,4,50,26,494,19.0,3,35.3,52.0,9.9,20,42.0,67.4,93.4,4.81,6.67,WR,ParkDe01
82,Rashid Shaheed,488,72.5,2022,24,NOR,12,6,34,28,488,17.4,2,40.7,82.4,14.4,18,70.6,72.5,100.5,6.04,8.38,WR,ShahRa00
83,Seth Roberts,480,80.0,2015,24,OAK,16,5,55,32,480,15.0,5,30.0,58.2,8.7,21,49.1,80.0,112.0,5.00,7.00,WR,RobeSe00
84,Kenny Golladay,477,66.6,2017,24,DET,11,5,48,28,477,17.0,3,43.4,58.3,9.9,18,50.0,66.6,94.6,6.05,8.60,WR,GollKe00
85,Charles Johnson,475,60.4,2014,25,MIN,12,6,59,31,475,15.3,2,39.6,52.5,8.1,19,47.5,60.4,91.4,5.03,7.62,WR,JohnCh08
86,Devin Funchess,473,75.3,2015,21,CAR,16,5,63,31,473,15.3,5,29.6,49.2,7.5,24,47.6,75.3,106.3,4.71,6.64,WR,FuncDe00
87,Dante Pettis,467,76.5,2018,23,SFO,12,7,45,27,467,17.3,5,38.9,60.0,10.4,19,44.4,76.5,103.5,6.38,8.63,WR,PettDa00
88,Brandon Coleman,454,57.4,2015,23,NOR,16,4,49,30,454,15.1,2,28.4,61.2,9.3,22,55.1,57.4,87.4,3.59,5.46,WR,ColeBr00
89,Henry Ruggs III,452,58.1,2020,21,LVR,13,12,43,26,452,17.4,2,34.8,60.5,10.5,13,53.5,58.1,84.1,4.47,6.47,WR,RuggHe00
90,Davante Adams,446,62.6,2014,22,GNB,16,11,66,38,446,11.7,3,27.9,57.6,6.8,23,48.5,62.6,100.6,3.91,6.29,WR,AdamDa01
91,Nico Collins,446,50.6,2021,22,HOU,14,8,60,33,446,13.5,1,31.9,55.0,7.4,22,48.3,50.6,83.6,3.61,5.97,WR,CollNi00
92,Treylon Burks,444,61.1,2022,22,TEN,11,6,54,33,444,13.5,1,40.4,61.1,8.2,19,50.0,61.1,94.1,5.55,8.55,WR,BurkTr00
93,Donte Moncrief,444,64.1,2014,21,IND,16,2,49,32,444,13.9,3,27.8,65.3,9.1,15,44.9,64.1,96.1,4.01,6.01,WR,MoncDo00
94,Rondale Moore,435,55.1,2021,21,ARI,14,7,64,54,435,8.1,1,31.1,84.4,6.8,18,54.7,55.1,109.1,3.94,7.79,WR,MoorRo02
95,Quentin Johnston,431,56.0,2023,22,LAC,17,10,67,38,431,11.3,2,25.4,56.7,6.4,20,47.8,56.0,94.0,3.29,5.53,WR,JohnQu02
96,Trent Taylor,430,53.0,2017,23,SFO,15,1,60,43,430,10.0,2,28.7,71.7,7.2,27,51.7,53.0,96.0,3.53,6.40,WR,TaylTr02
97,Preston Williams,428,58.8,2019,22,MIA,8,7,60,32,428,13.4,3,53.5,53.3,7.1,24,51.7,58.8,90.8,7.35,11.35,WR,WillPr01
98,Tre'Quan Smith,427,72.7,2018,22,NOR,15,7,44,28,427,15.3,5,28.5,63.6,9.7,23,61.4,72.7,100.7,4.85,6.71,WR,SmitTr03
99,Romeo Doubs,425,59.6,2022,22,GNB,13,7,67,42,425,10.1,3,32.7,62.7,6.3,20,46.3,59.6,101.6,4.58,7.82,WR,DoubRo00
100,Anthony Miller,423,87.2,2018,24,CHI,15,4,54,33,423,12.8,7,28.2,61.1,7.8,19,50.0,87.2,120.2,5.81,8.01,WR,MillAn02
101,Marqise Lee,422,49.1,2014,23,JAX,13,8,69,37,422,11.4,1,32.5,53.6,6.1,21,44.9,49.1,86.1,3.78,6.62,WR,LeexMa00
102,Kadarius Toney,420,43.4,2021,22,NYG,10,4,57,39,420,10.8,0,42.0,68.4,7.4,21,52.6,43.4,82.4,4.34,8.24,WR,ToneKa00
103,Jonathan Mingo,418,41.8,2023,22,CAR,15,14,85,43,418,9.7,0,27.9,50.6,4.9,15,32.9,41.8,84.8,2.79,5.65,WR,MingJo00
104,Corey Coleman,413,60.3,2016,22,CLE,10,10,73,33,413,12.5,3,41.3,45.2,5.7,18,37.0,60.3,93.3,6.03,9.33,WR,ColeCo00
105,Malcolm Mitchell,401,64.1,2016,24,NWE,14,6,48,32,401,12.5,4,28.6,66.7,8.4,23,58.3,64.1,96.1,4.58,6.86,WR,MitcMa01
106,Jalen Reagor,396,56.2,2020,21,PHI,11,11,54,31,396,12.8,1,36.0,57.4,7.3,19,46.3,56.2,87.2,5.11,7.93,WR,ReagJa00
107,Trey Palmer,385,56.7,2023,22,TAM,17,8,68,39,385,9.9,3,22.6,57.4,5.7,17,41.2,56.7,95.7,3.34,5.63,WR,PalmTr00
108,KJ Hamler,381,60.1,2020,21,DEN,13,4,56,30,381,12.7,3,29.3,53.6,6.8,17,37.5,60.1,90.1,4.62,6.93,WR,HamlKJ00
109,Marvin Mims,377,48.7,2023,21,DEN,16,7,33,22,377,17.1,1,23.6,66.7,11.4,9,48.5,48.7,70.7,3.04,4.42,WR,MimsMa00
110,Corey Davis,375,35.5,2017,22,TEN,11,9,65,34,375,11.0,0,34.1,52.3,5.8,17,36.9,35.5,69.5,3.23,6.32,WR,DaviCo03
111,Jalin Hyatt,373,37.3,2023,22,NYG,17,7,40,23,373,16.2,0,21.9,57.5,9.3,11,47.5,37.3,60.3,2.19,3.55,WR,HyatJa00
112,Kelvin Harmon,365,36.9,2019,23,WAS,16,8,44,30,365,12.2,0,22.8,68.2,8.3,16,56.8,36.9,66.9,2.31,4.18,WR,HarmKe00
113,Jeremy Butler,363,36.3,2015,24,BAL,8,0,44,31,363,11.7,0,45.4,70.5,8.3,17,52.3,36.3,67.3,4.54,8.41,WR,ButlJe01
114,Jakobi Meyers,359,35.9,2019,23,NWE,15,1,41,26,359,13.8,0,23.9,63.4,8.8,17,53.7,35.9,61.9,2.39,4.13,WR,MeyeJa01
115,Denzel Mims,357,37.7,2020,23,NYJ,9,8,44,23,357,15.5,0,39.7,52.3,8.1,15,40.9,37.7,60.7,4.19,6.74,WR,MimsDe00
116,Josh Palmer,353,59.9,2021,22,LAC,17,5,49,33,353,10.7,4,20.8,67.3,7.2,18,55.1,59.9,92.9,3.52,5.46,WR,PalmJo00
117,Quintez Cephus,349,46.9,2020,22,DET,13,2,35,20,349,17.5,2,26.8,57.1,10.0,16,54.3,46.9,66.9,3.61,5.15,WR,CephQu00
118,Dede Westbrook,339,39.9,2017,24,JAX,7,5,51,27,339,12.6,1,48.4,52.9,6.6,15,41.2,39.9,66.9,5.70,9.56,WR,WestDe00
119,Tre Tucker,331,52.8,2023,22,LVR,16,1,34,19,331,17.4,2,20.7,55.9,9.7,12,41.2,52.8,71.8,3.30,4.49,WR,TuckTr00
120,Equanimeous St. Brown,328,33.3,2018,22,GNB,12,7,36,21,328,15.6,0,27.3,58.3,9.1,13,47.2,33.3,54.3,2.78,4.53,WR,St.BEq00
121,Zay Jones,316,43.6,2017,22,BUF,15,10,74,27,316,11.7,2,21.1,36.5,4.3,19,33.8,43.6,70.6,2.91,4.71,WR,JoneZa00
122,Steven Sims,310,75.5,2019,22,WAS,16,2,56,34,310,9.1,4,19.4,60.7,5.5,18,32.1,75.5,109.5,4.72,6.84,WR,SimsSt00
123,Donovan Peoples-Jones,304,44.4,2020,21,CLE,12,2,20,14,304,21.7,2,25.3,70.0,15.2,10,60.0,44.4,58.4,3.70,4.87,WR,PeopDo00
124,JJ Nelson,299,39.9,2015,23,ARI,11,2,27,11,299,27.2,2,27.2,40.7,11.1,11,40.7,39.9,50.9,3.63,4.63,WR,NelsJJ00
125,Corey Brown,296,55.1,2014,23,CAR,13,3,36,21,296,14.1,2,22.8,58.3,8.2,12,50.0,55.1,76.1,4.24,5.85,WR,BrowPh00
126,Olabisi Johnson,294,48.0,2019,22,MIN,16,6,45,31,294,9.5,3,18.4,68.9,6.5,17,55.6,48.0,79.0,3.00,4.94,WR,JohnOl00
127,Keke Coutee,287,34.7,2018,21,HOU,6,2,41,28,287,10.3,1,47.8,68.3,7.0,13,48.8,34.7,62.7,5.78,10.45,WR,CoutKe00
128,Nelson Agholor,283,32.3,2015,22,PHI,13,12,44,23,283,12.3,1,21.8,52.3,6.4,11,45.5,32.3,55.3,2.48,4.25,WR,AghoNe00
129,Chester Rogers,273,27.3,2016,22,IND,14,2,34,19,273,14.4,0,19.5,55.9,8.0,13,50.0,27.3,46.3,1.95,3.31,WR,RogeCh02
130,Collin Johnson,272,41.2,2020,23,JAX,14,0,31,18,272,15.1,2,19.4,58.1,8.8,12,51.6,41.2,59.2,2.94,4.23,WR,JohnCo01
131,Paul Richardson,271,33.1,2014,22,SEA,15,6,44,29,271,9.3,1,18.1,65.9,6.2,16,50.0,33.1,62.1,2.21,4.14,WR,RichPa01
132,Adam Humphries,260,32.0,2015,22,TAM,13,0,40,27,260,9.6,1,20.0,67.5,6.5,18,50.0,32.0,59.0,2.46,4.54,WR,HumpAd00
133,Albert Wilson,260,26.0,2014,22,KAN,12,2,28,16,260,16.3,0,21.7,57.1,9.3,12,53.6,26.0,42.0,2.17,3.50,WR,WilsAl02
134,Kendrick Bourne,257,25.7,2017,22,SFO,11,0,34,16,257,16.1,0,23.4,47.1,7.6,12,41.2,25.7,41.7,2.34,3.79,WR,BourKe00
135,Skyy Moore,250,21.4,2022,22,KAN,16,3,33,22,250,11.4,0,15.6,66.7,7.6,13,63.6,21.4,43.4,1.34,2.71,WR,MoorSk01
136,Tyquan Thornton,247,44.3,2022,22,NWE,13,9,45,22,247,11.2,2,19.0,48.9,5.5,13,40.0,44.3,66.3,3.41,5.10,WR,ThorTy00
137,A.T. Perry,246,48.6,2023,24,NOR,10,3,18,12,246,20.5,4,24.6,66.7,13.7,10,61.1,48.6,60.6,4.86,6.06,WR,PerrAT00
138,DaeSean Hamilton,243,36.3,2018,23,DEN,14,5,45,30,243,8.1,2,17.4,66.7,5.4,16,46.7,36.3,66.3,2.59,4.74,WR,HamiDa01
139,Taywan Taylor,231,33.4,2017,22,TEN,16,4,28,16,231,14.4,1,14.4,57.1,8.3,9,39.3,33.4,49.4,2.09,3.09,WR,TaylTa00
140,Xavier Gipson,229,37.7,2023,22,NYJ,17,3,38,21,229,10.9,0,13.5,55.3,6.0,9,34.2,37.7,58.7,2.22,3.45,WR,GipsXa00
141,Wan'Dale Robinson,227,28.6,2022,21,NYG,6,3,31,23,227,9.9,1,37.8,74.2,7.3,13,61.3,28.6,51.6,4.77,8.60,WR,RobiWa01
142,Mack Hollins,226,28.6,2017,24,PHI,16,0,22,16,226,14.1,1,14.1,72.7,10.3,8,63.6,28.6,44.6,1.79,2.79,WR,HollMa00
143,Phillip Dorsett,225,28.2,2015,22,IND,11,0,39,18,225,12.5,1,20.5,46.2,5.8,10,33.3,28.2,46.2,2.56,4.20,WR,DorsPh00
144,Cedric Tillman,224,23.2,2023,23,CLE,14,3,44,21,224,10.7,0,16.0,47.7,5.1,12,40.9,23.2,44.2,1.66,3.16,WR,TillCe01
145,Van Jefferson,220,27.9,2020,24,LAR,16,0,31,19,220,11.6,1,13.8,61.3,7.1,11,54.8,27.9,46.9,1.74,2.93,WR,JeffVa00
146,James Washington,217,27.7,2018,22,PIT,14,6,38,16,217,13.6,1,15.5,42.1,5.7,11,42.1,27.7,43.7,1.98,3.12,WR,WashJa00
147,David Bell,214,21.4,2022,22,CLE,16,3,35,24,214,8.9,0,13.4,68.6,6.1,7,40.0,21.4,45.4,1.34,2.84,WR,BellDa02
148,Marquez Callaway,213,21.3,2020,22,NOR,11,3,27,21,213,10.1,0,19.4,77.8,7.9,10,70.4,21.3,42.3,1.94,3.85,WR,CallMa01
149,Lynn Bowden Jr.,211,25.6,2020,23,MIA,10,4,37,28,211,7.5,0,21.1,75.7,5.7,13,51.4,25.6,53.6,2.56,5.36,WR,BowdLy00
150,Trent Sherfield,210,27.0,2018,22,ARI,13,2,28,19,210,11.1,1,16.2,67.9,7.5,11,57.1,27.0,46.0,2.08,3.54,WR,SherTr00
151,Keith Kirkwood,209,32.9,2018,24,NOR,8,1,21,13,209,16.1,2,26.1,61.9,10.0,10,57.1,32.9,45.9,4.11,5.74,WR,KirkKe00
152,Antoine Wesley,208,38.8,2021,24,ARI,15,4,32,19,208,10.9,3,13.9,59.4,6.5,9,46.9,38.8,57.8,2.59,3.85,WR,WeslAn01
153,Ricardo Louis,205,20.5,2016,22,CLE,16,3,35,18,205,11.4,0,12.8,51.4,5.9,7,40.0,20.5,38.5,1.28,2.41,WR,LouiRi00
154,Bennie Fowler,203,20.3,2015,24,DEN,16,1,25,16,203,12.7,0,12.7,64.0,8.1,11,48.0,20.3,36.3,1.27,2.27,WR,FowlBe00
155,Geronimo Allison,202,32.2,2016,22,GNB,10,2,22,12,202,16.8,2,20.2,54.5,9.2,11,50.0,32.2,44.2,3.22,4.42,WR,AlliGe01
156,Devin Duvernay,201,33.1,2020,23,BAL,16,3,26,20,201,10.1,0,12.6,76.9,7.7,8,46.2,33.1,53.1,2.07,3.32,WR,DuveDe00
157,Ricky Seals-Jones,201,38.1,2017,22,ARI,10,1,28,12,201,16.8,3,20.1,42.9,7.2,10,39.3,38.1,50.1,3.81,5.01,WR,SealRi00
158,Cody Core,200,20.0,2016,22,CIN,8,4,27,17,200,11.8,0,25.0,63.0,7.4,7,44.4,20.0,37.0,2.50,4.63,WR,CoreCo00
159,Scott Miller,200,27.6,2019,22,TAM,10,2,26,13,200,15.4,1,20.0,50.0,7.7,5,34.6,27.6,40.6,2.76,4.06,WR,MillSc01
160,Chris Conley,199,25.9,2015,23,KAN,16,5,31,17,199,11.7,1,12.4,54.8,6.4,12,51.6,25.9,42.9,1.62,2.68,WR,ConlCh00
161,Miles Boykin,198,37.8,2019,23,BAL,16,11,22,13,198,15.2,3,12.4,59.1,9.0,10,59.1,37.8,50.8,2.36,3.18,WR,BoykMi00
162,Isaiah Wright,197,19.3,2020,23,WAS,14,6,35,27,197,7.3,0,14.1,77.1,5.6,10,48.6,19.3,46.3,1.38,3.31,WR,WrigIs01
163,Jake Bobo,196,37.9,2023,25,SEA,17,0,25,19,196,10.3,2,11.5,76.0,7.8,9,60.0,37.9,56.9,2.23,3.35,WR,BoboJa00
164,Javontee Herndon,195,18.8,2015,24,SDG,8,2,33,24,195,8.1,0,24.4,72.7,5.9,8,45.5,18.8,42.8,2.35,5.35,WR,HernJa00
165,Justin Hardy,194,19.4,2015,24,ATL,9,1,36,21,194,9.2,0,21.6,58.3,5.4,11,41.7,19.4,40.4,2.16,4.49,WR,HardJu00
166,Bryan Edwards,193,25.3,2020,22,LVR,12,3,15,11,193,17.5,1,16.1,73.3,12.9,9,66.7,25.3,36.3,2.11,3.03,WR,EdwaBr01
167,Andy Isabella,189,26.4,2019,23,ARI,15,1,13,9,189,21.0,1,12.6,69.2,14.5,4,53.8,26.4,35.4,1.76,2.36,WR,IsabAn00
168,KeeSean Johnson,187,25.0,2019,23,ARI,10,4,42,21,187,8.9,1,18.7,50.0,4.5,10,38.1,25.0,46.0,2.50,4.60,WR,JohnKe07
169,Kevin White,187,19.6,2016,24,CHI,4,4,36,19,187,9.8,0,46.8,52.8,5.2,8,38.9,19.6,38.6,4.90,9.65,WR,WhitKe00
170,Charone Peake,186,24.6,2016,24,NYJ,15,1,35,19,186,9.8,0,12.4,54.3,5.3,7,42.9,24.6,43.6,1.64,2.91,WR,PeakCh00
171,Demetric Felton,181,32.5,2021,23,CLE,16,2,21,18,181,10.1,2,11.3,85.7,8.6,10,57.1,32.5,50.5,2.03,3.16,WR,FeltDe00
172,Jalen Nailor,179,23.9,2022,23,MIN,15,0,13,9,179,19.9,1,11.9,69.2,13.8,7,69.2,23.9,32.9,1.59,2.19,WR,NailJa00
173,DJ Chark,174,15.4,2018,22,JAX,11,0,32,14,174,12.4,0,15.8,43.8,5.4,6,40.6,15.4,29.4,1.40,2.67,WR,CharDJ00
174,Byron Pringle,170,23.0,2019,26,KAN,16,0,16,12,170,14.2,1,10.6,75.0,10.6,7,62.5,23.0,35.0,1.44,2.19,WR,PrinBy00
175,JJ Arcega-Whiteside,169,22.9,2019,22,PHI,16,5,22,10,169,16.9,1,10.6,45.5,7.7,7,45.5,22.9,32.9,1.43,2.06,WR,ArceJJ00
176,Tyler Johnson,169,28.9,2020,22,TAM,14,3,17,12,169,14.1,2,12.1,70.6,9.9,9,52.9,28.9,40.9,2.06,2.92,WR,JohnTy00
177,Tyler Scott,168,18.9,2023,22,CHI,17,4,32,17,168,9.9,0,9.9,53.1,5.3,10,43.8,18.9,35.9,1.11,2.11,WR,ScotTy00
178,John Hightower,167,18.8,2020,24,PHI,13,4,29,10,167,16.7,0,12.8,34.5,5.8,5,27.6,18.8,28.8,1.45,2.22,WR,HighJo00
179,Dyami Brown,165,16.1,2021,22,WAS,15,6,25,12,165,13.8,0,11.0,48.0,6.6,6,36.0,16.1,28.1,1.07,1.87,WR,BrowDy00
180,Jalin Marshall,162,24.2,2016,21,NYJ,10,1,23,14,162,11.6,2,16.2,60.9,7.0,9,43.5,24.2,38.2,2.42,3.82,WR,MarsJa01
181,Khalil Shakir,161,24.1,2022,22,BUF,14,2,20,10,161,16.1,1,11.5,50.0,8.1,7,40.0,24.1,34.1,1.72,2.44,WR,ShakKh00
182,Jaelen Strong,161,34.1,2015,21,HOU,10,1,24,14,161,11.5,3,16.1,58.3,6.7,9,50.0,34.1,48.1,3.41,4.81,WR,StroJa01
183,Freddie Swain,159,27.9,2020,22,SEA,16,1,21,13,159,12.2,2,9.9,61.9,7.6,6,42.9,27.9,40.9,1.74,2.56,WR,SwaiFr00
184,Marcell Ateman,154,21.4,2018,24,OAK,7,6,31,15,154,10.3,1,22.0,48.4,5.0,7,35.5,21.4,36.4,3.06,5.20,WR,AtemMa00
185,Brenton Bersin,151,21.1,2014,24,CAR,15,1,20,13,151,11.6,1,10.1,65.0,7.6,11,65.0,21.1,34.1,1.41,2.27,WR,BersBr00
186,Damion Ratley,144,14.4,2018,23,CLE,13,3,20,13,144,11.1,0,11.1,65.0,7.2,5,55.0,14.4,27.4,1.11,2.11,WR,RatlDa00
187,Deontay Burnett,143,14.3,2018,21,NYJ,5,1,15,10,143,14.3,0,28.6,66.7,9.5,7,53.3,14.3,24.3,2.86,4.86,WR,BurnDe00
188,Terrace Marshall Jr.,138,15.8,2021,21,CAR,13,3,30,17,138,8.1,0,10.6,56.7,4.6,7,36.7,15.8,32.8,1.22,2.52,WR,MarsTe00
189,Adam Thielen,137,19.7,2014,24,MIN,16,2,13,8,137,17.1,1,8.6,61.5,10.5,7,53.8,19.7,27.7,1.23,1.73,WR,ThieAd00
190,Ty Montgomery,136,27.0,2015,22,GNB,6,3,19,15,136,9.1,2,22.7,78.9,7.2,6,63.2,27.0,42.0,4.50,7.00,WR,MontTy01
191,Anthony Schwartz,135,23.4,2021,21,CLE,14,2,23,10,135,13.5,1,9.6,43.5,5.9,6,34.8,23.4,33.4,1.67,2.39,WR,SchwAn00
192,Keelan Doss,133,13.3,2019,23,OAK,8,2,14,11,133,12.1,0,16.6,78.6,9.5,6,71.4,13.3,24.3,1.66,3.04,WR,DossKe00
193,Ben Skowronek,133,13.3,2021,24,LAR,14,1,20,11,133,12.1,0,9.5,55.0,6.7,7,40.0,13.3,24.3,0.95,1.74,WR,SkowBe00
194,Donteea Dye,132,19.2,2015,22,TAM,10,5,30,11,132,12.0,1,13.2,36.7,4.4,8,30.0,19.2,30.2,1.92,3.02,WR,DyexDo00
195,Parker Washington,132,23.2,2023,21,JAX,9,1,21,16,132,8.3,2,14.7,76.2,6.3,5,52.4,23.2,39.2,2.58,4.36,WR,WashPa01
196,Richie James,130,23.0,2018,23,SFO,13,2,14,9,130,14.4,1,10.0,64.3,9.3,4,50.0,23.0,32.0,1.77,2.46,WR,JameRi00
197,Keith Mumphery,129,12.9,2015,23,HOU,16,3,32,14,129,9.2,0,8.1,43.8,4.0,5,37.5,12.9,26.9,0.81,1.68,WR,MumpKe00
198,Brandon Powell,129,13.3,2018,23,DET,6,1,17,11,129,11.7,0,21.5,64.7,7.6,6,52.9,13.3,24.3,2.22,4.05,WR,PoweBr00
199,Parris Campbell,127,20.1,2019,22,IND,7,3,24,18,127,7.1,1,18.1,75.0,5.3,6,29.2,20.1,38.1,2.87,5.44,WR,CampPa00
200,Paul Turner,126,12.6,2016,23,PHI,4,2,14,9,126,14.0,0,31.5,64.3,9.0,6,50.0,12.6,21.6,3.15,5.40,WR,TurnPa01
201,Malik Heath,125,18.5,2023,23,GNB,13,1,24,15,125,8.3,1,9.6,62.5,5.2,6,41.7,18.5,33.5,1.42,2.58,WR,HeatMa00
202,Deon Cain,124,12.4,2019,23,INDPIT,13,6,20,9,124,13.8,0,9.5,45.0,6.2,7,45.0,12.4,21.4,0.95,1.65,WR,CainDe00
203,Cameron Meredith,120,12.0,2015,23,CHI,11,0,16,11,120,10.9,0,10.9,68.8,7.5,5,37.5,12.0,23.0,1.09,2.09,WR,MereCa00
204,Darius Jennings,117,11.7,2015,23,CLE,4,1,21,14,117,8.4,0,29.3,66.7,5.6,7,57.1,11.7,25.7,2.93,6.43,WR,JennDa00
205,Andrei Iosivas,116,35.6,2023,24,CIN,16,1,25,15,116,7.7,4,7.3,60.0,4.6,11,60.0,35.6,50.6,2.23,3.16,WR,IosiAn00
