Rk,Player,Yds,FantPt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,1D,Succ%,FantPt,PPR,FantPt,PPR/G,Pos,-9999
323,Cody Latimer,23,2.3,2014,22,DEN,8,0,4,2,23,11.5,0,2.9,50.0,5.8,1,50.0,2.3,4.3,0.29,0.54,WR,LatiCo00
324,Dazz Newsome,23,2.3,2021,22,CHI,3,1,5,2,23,11.5,0,7.7,40.0,4.6,1,20.0,2.3,4.3,0.77,1.43,WR,NewsDa00
325,DeAndre Smelter,23,2.3,2016,25,SFO,2,0,1,1,23,23.0,0,11.5,100.0,23.0,1,100.0,2.3,3.3,1.15,1.65,WR,SmelDe00
326,Tylan Wallace,23,2.3,2021,22,BAL,17,1,6,2,23,11.5,0,1.4,33.3,3.8,1,33.3,2.3,4.3,0.14,0.25,WR,WallTy00
327,Gehrig Dieter,22,2.2,2018,25,KAN,4,0,3,1,22,22.0,0,5.5,33.3,7.3,1,33.3,2.2,3.2,0.55,0.80,WR,DietGe00
328,Fred Brown,21,2.1,2019,26,DEN,13,1,3,2,21,10.5,0,1.6,66.7,7.0,1,33.3,2.1,4.1,0.16,0.32,WR,BrowFr01
329,Geremy Davis,21,2.1,2015,23,NYG,10,0,3,2,21,10.5,0,2.1,66.7,7.0,1,33.3,2.1,4.1,0.21,0.41,WR,DaviGe00
330,Bernard Reedy,21,3.8,2017,26,NWETAM,11,0,2,2,21,10.5,0,1.9,100.0,10.5,1,100.0,3.8,5.8,0.35,0.53,WR,ReedBe01
331,Malik Turner,20,2.0,2018,22,SEA,6,0,3,2,20,10.0,0,3.3,66.7,6.7,1,33.3,2.0,4.0,0.33,0.67,WR,TurnMa00
332,Kayshon Boutte,19,1.9,2023,21,NWE,5,0,7,2,19,9.5,0,3.8,28.6,2.7,1,28.6,1.9,3.9,0.38,0.78,WR,BoutKa00
333,Shane Wynn,19,2.4,2016,24,JAX,5,0,3,1,19,19.0,0,3.8,33.3,6.3,1,33.3,2.4,3.4,0.48,0.68,WR,WynnSh00
334,Jehu Chesson,18,1.8,2017,24,KAN,12,1,4,2,18,9.0,0,1.5,50.0,4.5,2,50.0,1.8,3.8,0.15,0.32,WR,ChesJe00
335,Stanley Morgan Jr.,18,1.8,2019,23,CIN,11,0,10,3,18,6.0,0,1.6,30.0,1.8,,20.0,1.8,4.8,0.16,0.44,WR,MorgSt02
336,Jojo Natson,18,3.3,2017,23,NYJ,7,0,5,2,18,9.0,0,2.6,40.0,3.6,1,20.0,3.3,5.3,0.47,0.76,WR,NatsJo00
337,Devin Street,18,1.8,2014,23,DAL,16,0,7,2,18,9.0,0,1.1,28.6,2.6,1,28.6,1.8,3.8,0.11,0.24,WR,StreDe00
338,Darren Waller,18,1.8,2015,23,BAL,6,1,6,2,18,9.0,0,3.0,33.3,3.0,1,16.7,1.8,3.8,0.30,0.63,WR,WallDa01
339,DeAndrew White,18,1.8,2015,24,SFO,4,0,2,2,18,9.0,0,4.5,100.0,9.0,2,100.0,1.8,3.8,0.45,0.95,WR,WhitDe01
340,Bobo Wilson,18,8.6,2017,22,TAM,3,1,1,1,18,18.0,1,6.0,100.0,18.0,1,100.0,8.6,9.6,2.87,3.20,WR,WilsJe00
341,Ashton Dulin,17,1.7,2019,22,IND,13,0,2,2,17,8.5,0,1.3,100.0,8.5,,50.0,1.7,3.7,0.13,0.28,WR,DuliAs00
342,KhaDarel Hodge,17,1.7,2018,23,LAR,14,0,3,2,17,8.5,0,1.2,66.7,5.7,1,33.3,1.7,3.7,0.12,0.26,WR,HodgKh00
343,Rashard Davis,16,1.6,2019,24,TEN,1,0,1,1,16,16.0,0,16.0,100.0,16.0,1,100.0,1.6,2.6,1.60,2.60,WR,DaviRa01
344,Dennis Houston,16,1.6,2022,23,DAL,2,0,6,2,16,8.0,0,8.0,33.3,2.7,,16.7,1.6,3.6,0.80,1.80,WR,HousDe01
345,Jeff Janis,16,1.6,2014,23,GNB,3,0,2,2,16,8.0,0,5.3,100.0,8.0,2,100.0,1.6,3.6,0.53,1.20,WR,JaniJe00
346,Lucky Whitehead,16,10.3,2015,23,DAL,15,1,8,6,16,2.7,0,1.1,75.0,2.0,1,25.0,10.3,16.3,0.69,1.09,WR,WhitLu00
347,Mario Alford,15,1.5,2015,23,CIN,1,0,1,1,15,15.0,0,15.0,100.0,15.0,1,100.0,1.5,2.5,1.50,2.50,WR,AlfoMa00
348,Ventell Bryant,15,7.5,2019,23,DAL,12,0,1,1,15,15.0,1,1.3,100.0,15.0,1,100.0,7.5,8.5,0.63,0.71,WR,BryaVe00
349,Laquon Treadwell,15,1.5,2016,21,MIN,9,1,3,1,15,15.0,0,1.7,33.3,5.0,1,33.3,1.5,2.5,0.17,0.28,WR,TreaLa00
350,Frank Darby,14,1.4,2021,24,ATL,10,0,4,1,14,14.0,0,1.4,25.0,3.5,1,25.0,1.4,2.4,0.14,0.24,WR,DarbFr00
351,James Proche,14,1.4,2020,24,BAL,14,0,3,1,14,14.0,0,1.0,33.3,4.7,1,33.3,1.4,2.4,0.10,0.17,WR,ProcJa00
352,Tim White,14,1.4,2018,24,BAL,3,0,1,1,14,14.0,0,4.7,100.0,14.0,1,100.0,1.4,2.4,0.47,0.80,WR,WhitTi00
